Continent,Country,State,Location,Longitude,Latitude,GI,EI
World,No_country,No_state,226713,0.08,30.42,0,0
World,No_country,No_state,226714,0.25,30.42,0,0
World,No_country,No_state,226715,0.42,30.42,0,0
World,No_country,No_state,226716,0.58,30.42,0,0
World,No_country,No_state,226717,0.75,30.42,0,0
World,No_country,No_state,226718,0.92,30.42,0,0
World,No_country,No_state,226719,1.08,30.42,0,0
World,No_country,No_state,226720,1.25,30.42,0,0
World,No_country,No_state,226721,1.42,30.42,0,0
World,No_country,No_state,226722,1.58,30.42,0,0
World,No_country,No_state,226723,1.75,30.42,0,0
World,No_country,No_state,226724,1.92,30.42,0,0
World,No_country,No_state,226725,2.08,30.42,0,0
World,No_country,No_state,226726,2.25,30.42,0,0
World,No_country,No_state,226727,2.42,30.42,0,0
World,No_country,No_state,226728,2.58,30.42,0,0
World,No_country,No_state,226729,2.75,30.42,0,0
World,No_country,No_state,226730,2.92,30.42,0,0
World,No_country,No_state,226731,3.08,30.42,0,0
World,No_country,No_state,226732,3.25,30.42,0,0
World,No_country,No_state,226733,3.42,30.42,0,0
World,No_country,No_state,226734,3.58,30.42,0,0
World,No_country,No_state,226735,3.75,30.42,0,0
World,No_country,No_state,226736,3.92,30.42,0,0
World,No_country,No_state,226737,4.08,30.42,0,0
World,No_country,No_state,226738,4.25,30.42,0,0
World,No_country,No_state,226739,4.42,30.42,0,0
World,No_country,No_state,226740,4.58,30.42,0,0
World,No_country,No_state,226741,4.75,30.42,0,0
World,No_country,No_state,226742,4.92,30.42,0,0
World,No_country,No_state,226743,5.08,30.42,0,0
World,No_country,No_state,226744,5.25,30.42,0,0
World,No_country,No_state,226745,5.42,30.42,0,0
World,No_country,No_state,226746,5.58,30.42,0,0
World,No_country,No_state,226747,5.75,30.42,0,0
World,No_country,No_state,226748,5.92,30.42,0,0
World,No_country,No_state,226749,6.08,30.42,0,0
World,No_country,No_state,226750,6.25,30.42,0,0
World,No_country,No_state,226751,6.42,30.42,0,0
World,No_country,No_state,226752,6.58,30.42,0,0
World,No_country,No_state,226753,6.75,30.42,0,0
World,No_country,No_state,226754,6.92,30.42,0,0
World,No_country,No_state,226755,7.08,30.42,0,0
World,No_country,No_state,226756,7.25,30.42,0,0
World,No_country,No_state,226757,7.42,30.42,0,0
World,No_country,No_state,226758,7.58,30.42,0,0
World,No_country,No_state,226759,7.75,30.42,0,0
World,No_country,No_state,226760,7.92,30.42,0,0
World,No_country,No_state,226761,8.08,30.42,0,0
World,No_country,No_state,226762,8.25,30.42,0,0
World,No_country,No_state,226763,8.42,30.42,0,0
World,No_country,No_state,226764,8.58,30.42,0,0
World,No_country,No_state,226765,8.75,30.42,0,0
World,No_country,No_state,226766,8.92,30.42,0,0
World,No_country,No_state,226767,9.08,30.42,0,0
World,No_country,No_state,226768,9.25,30.42,0,0
World,No_country,No_state,226769,9.42,30.42,0,0
World,No_country,No_state,226770,9.58,30.42,0,0
World,No_country,No_state,226771,9.75,30.42,0,0
World,No_country,No_state,226772,9.92,30.42,0,0
World,No_country,No_state,226773,-0.08,30.42,0,0
World,No_country,No_state,226774,-0.25,30.42,0,0
World,No_country,No_state,226775,-0.42,30.42,0,0
World,No_country,No_state,226776,-0.58,30.42,0,0
World,No_country,No_state,226777,-0.75,30.42,0,0
World,No_country,No_state,226778,-0.92,30.42,0,0
World,No_country,No_state,226779,-1.08,30.42,0,0
World,No_country,No_state,226780,-1.25,30.42,0,0
World,No_country,No_state,226781,-1.42,30.42,0,0
World,No_country,No_state,226782,-1.58,30.42,0,0
World,No_country,No_state,226783,-1.75,30.42,0,0
World,No_country,No_state,226784,-1.92,30.42,0,0
World,No_country,No_state,226785,-2.08,30.42,0,0
World,No_country,No_state,226786,-2.25,30.42,0,0
World,No_country,No_state,226787,-2.42,30.42,0,0
World,No_country,No_state,226788,-2.58,30.42,0,0
World,No_country,No_state,226789,-2.75,30.42,0,0
World,No_country,No_state,226790,-2.92,30.42,0,0
World,No_country,No_state,226791,-3.08,30.42,0,0
World,No_country,No_state,226792,-3.25,30.42,0,0
World,No_country,No_state,226793,-3.42,30.42,0,0
World,No_country,No_state,226794,-3.58,30.42,0,0
World,No_country,No_state,226795,-3.75,30.42,0,0
World,No_country,No_state,226796,-3.92,30.42,0,0
World,No_country,No_state,226797,-4.08,30.42,0,0
World,No_country,No_state,226798,-4.25,30.42,0,0
World,No_country,No_state,226799,-4.42,30.42,0,0
World,No_country,No_state,226800,-4.58,30.42,0,0
World,No_country,No_state,226801,-4.75,30.42,0,0
World,No_country,No_state,226802,-4.92,30.42,0,0
World,No_country,No_state,226803,-5.08,30.42,0,0
World,No_country,No_state,226804,-5.25,30.42,0,0
World,No_country,No_state,226805,-5.42,30.42,0,0
World,No_country,No_state,226806,-5.58,30.42,0,0
World,No_country,No_state,226807,-5.75,30.42,0,0
World,No_country,No_state,226808,-5.92,30.42,0,0
World,No_country,No_state,226809,-6.08,30.42,0,0
World,No_country,No_state,226810,-6.25,30.42,0,0
World,No_country,No_state,226811,-6.42,30.42,0,0
World,No_country,No_state,226812,-6.58,30.42,0,0
World,No_country,No_state,226813,-6.75,30.42,0,0
World,No_country,No_state,226814,-6.92,30.42,0,0
World,No_country,No_state,226815,-7.08,30.42,2,0
World,No_country,No_state,226816,-7.25,30.42,4,0
World,No_country,No_state,226817,-7.42,30.42,4,2
World,No_country,No_state,226818,-7.58,30.42,4,3
World,No_country,No_state,226819,-7.75,30.42,4,3
World,No_country,No_state,226820,-7.92,30.42,5,3
